Shareholder,Percent,Company,shareholder_id,company_national_id,shareholder_rasmio,shareholder_national_id
,0.9654,,,10000000001,,14005921810
,0.0129,,,10000000001,,10000000099
,0.0129,,,10000000001,تامین سرمایه امین,10103525426
,0.0636,,,10000000002,گروه مدیریت سرمایه گذاری امید,10102258090
,0.0636,,,10000000002,گسترش صنعت نوین ایرانیان,10320898341
,0.0636,,,10000000002,گروه مالی پارسیان,14004046372
,0.0636,,,10000000002,سرمایه گذاری توسعه ملی,10102501905
,0.0636,,,10000000002,سرمایه گذاری صباتأمین,10101908370
,0.0619,,,10000000002,,10320665380
,0.0612,,,10000000002,گروه توسعه مالی مهر آیندگان,10101638604
,0.0523,,,10000000002,,10100314776
,0.052,,,10000000002,گروه سرمایه گذاری و توسعه صنایع تکمیلی پتروشیمی خلیج فارس,10320466112
,0.0509,,,10000000002,گروه سرمایه گذاری تدبیر,10101907666
,0.0501,,,10000000002,تامین سرمایه سپهر,10320708990
,0.0383,,,10000000002,سرمایه گذاری توسعه صنعت و تجارت,10100273586
,0.0318,,,10000000002,سرمایه گذاری سمند,10102695661
,0.0264,,,10000000002,سپرده گذاری مرکزی اوراق بهادار و تسویه وجوه,10103800056
,0.0254,,,10000000002,,10102006226
,0.0254,,,10000000002,سرمایه گذاری فرهنگیان,10101380313
,0.0254,,,10000000002,سرمایه گذاری توسعه معادن و فلزات,10101634157
,0.0127,,,10000000002,سرمایه گذاری صبا جهاد,10102126747
,0.0127,,,10000000002,سرمایه گذاری پارس آریان,10102347321
,0.0126,,,10000000002,,14005317072
,0.0124,,,10000000002,,10320593747
,0.0106,,,10000000002,بانک آینده,10320894878
,0.0634,,,10000000003,گروه مالی ملت,10102801942
,0.0615,,,10000000003,سهامی بیمه ایران,10103858742
,0.0548,,,10000000003,,14006249569
,0.0541,,,10000000003,گروه سرمایه گذاری تدبیر,10101907666
,0.0515,,,10000000003,سرمایه گذاری گروه توسعه ملی,10101339590
,0.044,,,10000000003,سرمایه گذاری فرهنگیان,10101380313
,0.0415,,,10000000003,,10100314776
,0.0403,,,10000000003,گروه مدیریت سرمایه گذاری امید,10102258090
,0.039,,,10000000003,گسترش صنعت نوین ایرانیان,10320898341
,0.0378,,,10000000003,سرمایه گذاری آتیه صبا,10103137408
,0.0377,,,10000000003,بنیاد مستضعفان انقلاب اسلامی,10100171920
,0.0373,,,10000000003,بانک کشاورزی,10100830184
,0.0327,,,10000000003,سرمایه گذاری ملی ایران,10100686779
,0.028,,,10000000003,سرمایه گذاری توسعه صنعت و تجارت,10100273586
,0.0264,,,10000000003,سرمایه گذاری بوعلی,10100957800
,0.0256,,,10000000003,سرمایه گذاری صنایع پتروشیمی,10101336320
,0.0251,,,10000000003,سرمایه گذاری توکا فولاد,10260272518
,0.0249,,,10000000003,بانک آینده,10320894878
,0.0237,,,10000000003,سپرده گذاری مرکزی اوراق بهادار و تسویه وجوه,10103800056
,0.0214,,,10000000003,سرمایه گذاری صبا جهاد,10102126747
,0.0212,,,10000000003,سرمایه گذاری توسعه معادن و فلزات,10101634157
,0.0188,,,10000000003,گروه توسعه مالی مهر آیندگان,10101638604
,0.0186,,,10000000003,صندوق حمایت وبازنشستگی کارکنان فولاد,10100395131
,0.0163,,,10000000003,رفاه وتامین اتیه امید,10100589211
,0.0154,,,10000000003,تکادو,10260289240
