Shareholder,Percent,Company,shareholder_id,company_national_id,shareholder_rasmio,shareholder_national_id
شركت سرمايه گذاري سيمان تامين-سهامي عام-,0.5231,توريستي ورفاهي آبادگران ايران,909,10380244072,سرمایه گذاری سیمان تأمین,10101942066
شركت توليدي گرانول قزوين-سهامي خاص-,0.25,سيم و كابل ابهر,71044,10460039587,تولیدی گرانول قزوین,10861406488
شركت كوبل دارو-سهامي خاص-,0.6666,لابراتوارداروسازي‌ دكترعبيدي‌,795,10100621228,کوبل دارو,10102363667
شركت گروه مديريت سرمايه ليان-سهامي خاص-,0.1916,لابراتوارداروسازي‌ دكترعبيدي‌,44842,10100621228,گروه مدیریت سرمایه لیان,14006408218
شركت آرين الوندپارس-سهامي خاص-,0.0399,لابراتوارداروسازي‌ دكترعبيدي‌,46061,10100621228,آرین الوند پارس,14007070869
شركت سيمان فارس وخوزستان-سهامي عام-,0.7303,سيمان آبيك,560,10102405220,سیمان فارس و خوزستان,10100235615
BFMصندوق.س.ا.ب.صباگسترنفت وگازتامين,0.1008,سيمان آبيك,50909,10102405220,صندوق سرمایه گذاری اختصاصی بازارگردانی صبا گستر نفت و گاز تامین,10000000054
شركت ايثارفجركاشان-سهامي خاص-,0.6894,كشت و صنعت آبشيرين,45892,10260200698,ایثار فجر کاشان,10260181270
BFMصندوق سرمايه گذاري ا.ب.آواي زاگرس,0.0272,كشت و صنعت آبشيرين,71275,10260200698,صندوق سرمایه گذاری اختصاصی بازارگردانی آواری زاگرس,10000000019
شركت گروه بهمن-سهامي عام-,0.3639,سرمايه گذاري ارزش آفرينان,641,10102500883,گروه بهمن,10100231402
شركت سرمايه گذاري بهمن-سهامي عام-,0.2705,سرمايه گذاري ارزش آفرينان,439,10102500883,سرمایه گذاری بهمن,10102341535
شركت بيمه ملت-سهامي عام-,0.1623,سرمايه گذاري ارزش آفرينان,299,10102500883,بیمه ملت,10102526951
شركت سرمايه گذاري امين اعتماد-سهامي خاص-,0.0699,سرمايه گذاري ارزش آفرينان,45348,10102500883,سرمایه گذاری امین اعتماد,10102773194
BFMصندوق.س.اختصاصي بازارگرداني تثبيت پاداش,0.0304,سرمايه گذاري ارزش آفرينان,71452,10102500883,گسترش الکترونیک تدبیر ایران,10103492170
BFMصندوق.س.اختصاصي بازارگرداني ترازويستا,0.0178,سرمايه گذاري ارزش آفرينان,71513,10102500883,صندوق سرمایه گذاری اختصاصی بازارگردانی تراز ویستا,10000000063
شركت توسعه سرمايه گذاري درياساحل ايرانيان-بام,0.2,افرانت,7901,10101786601,توسعه سرمایه گذاری دریا ساحل ایرانیان,10103891706
شركت پيشتازان تجارت ويستا-سهامي خاص-,0.2,افرانت,7952,10101786601,پیشتازان تجارت ویستا,10102987556
شركت توسعه تجارت مجازي سارينا,0.2,افرانت,7902,10101786601,توسعه تجارت مجازی سارینا,10103891690
شركت نوآوري ستاره پارسيان-سهامي خاص-,0.0499,افرانت,76949,10101786601,نو آوری ستاره پارسیان,10102911447
شركت پيشگامان رشدونوآوري-سهامي خاص-,0.0498,افرانت,70175,10101786601,پیشگامان رشد و نوآوری,14008302538
شركت سرمايه گذاري آتيه صبا-سهامي خاص-,0.0396,افرانت,788,10101786601,سرمایه گذاری آتیه صبا,10103137408
شركت توسعه كارآفريني ماكان-سهامي خاص-,0.0294,افرانت,70214,10101786601,توسعه کارآفرینی ماکان,14010024250
شركت دنياي رشدونوآوري-سهامي خاص-,0.0277,افرانت,70637,10101786601,دنیای رشد و نوآوری,14006953961
شركت راديس-سهامي خاص-,0.0208,افرانت,69853,10101786601,رادیس,14009224728
شركت سرمايه گذاري ملي ايران-سهامي عام-,0.0202,افرانت,527,10101786601,سرمایه گذاری ملی ایران,10100686779
شركت صنعتي آراسته معدن-سهامي خاص-,0.3572,گروه صنعتي و معدني امير,587,10100747077,صنعتی آراسته معدن,10101885990
شركت كوشش آذين قشم,0.0991,گروه صنعتي و معدني امير,55043,10100747077,کوشش آذین قشم,10861503629
شركت سرمايه گذاري گلومينكوقشم-سهامي خاص-,0.04,گروه صنعتي و معدني امير,55044,10100747077,سرمایه گذاری گلومینکو قشم,10861394039
